name,price,availability
Мезо-термофильная закваска Hansen WhiteDaily 40 (50U),1 050 руб.,Есть в наличии
Закваска Chr.Hansen Selection Daily (10U) на 100 литров молока,410 руб.,Есть в наличии
Закваска Chr.Hansen Selection Danica (10U) на 100 литров молока,410 руб.,Есть в наличии
Мезо-термофильная закваска Hansen RSF-742 (50U),1 050 руб.,Есть в наличии
Вспомогательная закваска для сыра и творога БК-Углич-ЛД,275 руб.,Есть в наличии
Мезофильная закваска MicroMilk MM20 (50U),1 240 руб.,Есть в наличии
Мезофильная закваска MicroMilk MM30 (10 U),590 руб.,Есть в наличии
Мезофильная закваска MicroMilk MM30 (50U),1 240 руб.,Есть в наличии
Мезофильная закваска MicroMilk MM40 (10U),590 руб.,Есть в наличии
Мезофильная закваска MicroMilk MM40 (50U),1 240 руб.,Есть в наличии
Мезофильная закваска MicroMilk MM50 (10U),590 руб.,Есть в наличии
"Закваска Клеричи (Clerici) GAL1/GAL2, 50 единиц",979 руб.,Есть в наличии
Закваска Lactoferm-Biochem MFC (10U),1 445 руб.,Есть в наличии
Закваска Lactoferm-Biochem MSE (10U),1 445 руб.,Есть в наличии
Закваска Lactoferm-Biochem MSO (5U),1 035 руб.,Есть в наличии
Закваска Lactoferm-Biochem MSO (10U),1 445 руб.,Есть в наличии
Закваска Lactoferm-Biochem MSO (20U),2 650 руб.,Есть в наличии
Фермерская закваска Lactoferm-Biochem MSY (10U),1 445 руб.,Есть в наличии
Термофильно-мезофильная закваска Lactoferm-Biochem EM 20U (на 5 тонн),3 250 руб.,Есть в наличии
Мезофильно-термофильная закваска ALCE LYOBAC DHC 10/11 (1U),425 руб.,Есть в наличии
Закваска для Чеддера ALCE LYOBAC OTC 5/6 (1U),590 руб.,Есть в наличии
Мезофильная закваска ALCE LYOBAC FD 1/2 (1U),590 руб.,Есть в наличии
Мезофильная закваска ALCE LYOBAC FD 1/2 (5U),1 190 руб.,Есть в наличии
Закваска для сыра и творога ALCE LYOBAC NT (1U),425 руб.,Есть в наличии
Мезо-термофильная закваска ALCE LYOBAC TW (1U),425 руб.,Есть в наличии
Мезофильно-термофильная закваска ALCE LYOBAC DHC 10/11 (20U),3 575 руб.,Есть в наличии
Мезофильно-термофильная закваска ALCE LYOBAC OTC 5/6 (5U),1 190 руб.,Есть в наличии
Мезофильно-термофильная закваска ALCE LYOBAC OTC 5/6 (20U),3 655 руб.,Есть в наличии
Мезофильная закваска LYOBAC FD 1/2 (20U),3 475 руб.,Есть в наличии
Мезо-термофильная закваска Standa CHEESE MIX 1D (2U) ,1 188 руб.,Есть в наличии
Мезо-термофильная закваска Standa PAL TEX 100l (на 100 литров молока),985 руб.,Есть в наличии
Мезофильная закваска Standa 122 D 2U (на 200 литров молока),1 110 руб.,Есть в наличии
Мезофильная закваска Standa PAL 222 D 2U (на 200 литров молока),1 705 руб.,Есть в наличии
Мезофильная закваска Standa 322 D 2U (на 200 литров молока),1 805 руб.,Есть в наличии
Мезофильная закваска Standa LC2 D 2U (на 100 литров молока),995 руб.,Есть в наличии
Мезофильная закваска Standa LC3 D 2U (на 200 литров молока),635 руб.,Есть в наличии
Мезо-термофильная закваска Standa CHEESE MIX 188 D 2U (на 200 литров молока),1 130 руб.,Есть в наличии
Мезо-термофильная закваска Standa CHEESE MIX 8D 2U (на 200 литров молока),1 490 руб.,Есть в наличии
Мезо-термофильная закваска Sacco MS 062/064/066 CM (10U),1 140 руб.,Есть в наличии
Мезофильная закваска Sacco M 030/031/032 R (10U),1 350 руб.,Есть в наличии
Мезофильная закваска Sacco M 030/031/032 R (5U),990 руб.,Есть в наличии
Мезофильная закваска Sacco MO 030/031/032 (10U),1 790 руб.,Есть в наличии
Мезо-термофильная закваска Биоантибут-ТП,269 руб.,Нет в наличии
Закваска Danisco Choosit Probat 222 LYO (50 DCU),950 руб.,Нет в наличии
Мезофильно-термофильная закваска ALCE LYOBAC DHC 10/11 (5U),1 190 руб.,Нет в наличии
