name,price,structure
"Набор для приготовления шоколада «Мастер шоколада», 300 г",2 995 руб.,
"Подарочный набор «Для бани», 1 710 г (кедровый орех, варенье из шишки, мёд, иван-чай, кедровый грильяж, шопер, эфирное масло кедра)",6 844 руб.,"Ядро кедрового ореха, 120 грамм,Ядро кедрового ореха с вяленой клюква, 150 грамм,Варенье из сосновой шишки, 200 грамм,Мёд разнотравье, 220 г,Иван чай с брусникой, 40 грамм,Кедровый грильяж с клюквой, 120 г"
"Подарочный набор «Кедровая шишка», 1 кг (кедровый грильяж с клюквой)",37 995 руб.,Кедровый грильяж с клюквой
"Подарочный набор «Кедровая шишка» малая, 420 г (кедровый грильяж с клюквой)",14 545 руб.,Кедровый грильяж с клюквой
Шкатулка с голографией «Медведь»,7 995 руб.,"Кедровый трюфель «Ассорти из тёмного шоколада», 120 г - классический, малина, клюква,Тёмный шоколад с клюквой и кедровым орехом, 100 г,Варенье из сосновых шишек, 200 г"
"Деревянная шкатулка с конфетами, 450 г (кедровый грильяж, кедровый марципан, кедровые палочки, мягкий грильяж, Фрутодень)",4 995 руб.,"«Кедровый грильяж» с клюквой,«Кедровый грильяж» с облепихой,«Кедровый грильяж» с черникой,«Кедровый грильяж» с сосновой шишкой,«Кедровый марципан» классический,«Кедровые палочки» классика,«Мягкий грильяж» классический,«Фрутодень» с фиником"
Подарочная шкатулка с гравировкой «Медведь»,4 995 руб.,"«Кедровый грильяж» с клюквой,«Кедровый грильяж» с облепихой,«Кедровый грильяж» с черникой,«Кедровый грильяж» с сосновой шишкой,«Кедровый марципан» классический,«Кедровые палочки» классика,«,Мягкий грильяж» классический,«Фрутодень» с фиником"
"Подарочный набор «Из Сибири с любовью», 580 г (кедровый грильяж, кедровый марципан, Фрутодень, Ягодень, кедровые палочки)",3 995 руб.,"«Кедровый грильяж» с клюквой,«Кедровый грильяж» с сосновой шишкой,«Кедровый грильяж» с облепихой,«Кедровый грильяж» с диким яблоком,«Кедровый грильяж» с черникой,«Кедровый грильяж» с черёмухой,«Кедровый марципан» классический,«Кедровый марципан» с клюквой,«Кедровый марципан» с малиной,«Кедровый марципан» с облепихой,«Фрутодень» с фиником,«Фрутодень» с курагой,«Фрутодень» с черносливом,«Ягодень» с малиной,«Ягодень» с брусникой,«Ягодень» с чёрной смородиной,«Ягодень» с облепихой,«Кедровые палочки» классика,«Кедровые палочки» с малиной,«Кедровые палочки» со смородиной,«Кедровые палочки» с облепихой"
Деревянный блокнот «Путешествие»,1 222 руб.,
"Подарочный набор «Кедровый домик» светлый, 220 г (кедровый грильяж, кедровый марципан, Фрутодень, кедровая халва)",3 495 руб.,"«Кедровый грильяж» с клюквой,«Кедровый грильяж» с черникой,«Кедровый марципан» классический,«Мягкий грильяж» классический,«Фрутодень» с фиником"
"Подарочный набор «Оставайся диким», 940 г (варенье из сосновой шишки, кедровый трюфель, кедрокофе, шопер, обложка на паспорт, фляжка)",5 533 руб.,"Тёмный шоколад с клюквой и ядром кедрового ореха,Варенье из сосновой шишки 200 грамм,Кедровый трюфель, 115 г,Кедровый напиток с кофе и мускатом — 120 грамм;"
"Подарочная шкатулка  «Для неё и для него», 380 г (кедровый грильяж, кедровые палочки, кедровый трюфель)",5 995 руб.,"Кедровый грильяж с клюквой,Кедровые палочки"
"Шкатулка с голографией «Лиса», 420 г (кедровый трюфель, варенье из шишки, молочный шоколад)",6 911 руб.,"Кедровый трюфель из тёмного шоколада,Варенье из сосновой шишки, 200 г,Шоколад молочный с манго и кедровым орехом"
"Подарочный набор «Сердечный», 720 г",2 616 руб.,"Чайный напиток Гречишный с лесными ягодами, 150 г,Ягодная пастила черничная, 100 г,Мармелад «Ягодень» ассорти, 165 г - черника, смородина, малина,Крем-мёд с малиной, 200 г,Цветной шоколад с ежевикой, клубникой и вереском, 100 г,Деревянная брошь «Зая»"
